ID,labels,split,img_dir
01416766.jpg,BA,phase2_train,phase2/train
01416767.jpg,BA,phase2_train,phase2/train
01416768.jpg,BA,phase2_train,phase2/train
01416769.jpg,BA,phase2_train,phase2/train
01416770.jpg,BA,phase2_train,phase2/train
01416771.jpg,BA,phase2_train,phase2/train
01416772.jpg,BA,phase2_train,phase2/train
01416773.jpg,BA,phase2_train,phase2/train
01416774.jpg,BA,phase2_train,phase2/train
01416775.jpg,BL,phase2_train,phase2/train
01416776.jpg,BL,phase2_train,phase2/train
01416777.jpg,BL,phase2_train,phase2/train
01416778.jpg,BL,phase2_train,phase2/train
01416779.jpg,BL,phase2_train,phase2/train
01416780.jpg,BL,phase2_train,phase2/train
01416781.jpg,BNE,phase2_train,phase2/train
01416782.jpg,BNE,phase2_train,phase2/train
01416783.jpg,BNE,phase2_train,phase2/train
01416784.jpg,BNE,phase2_train,phase2/train
01416785.jpg,EO,phase2_train,phase2/train
01416786.jpg,EO,phase2_train,phase2/train
01416787.jpg,EO,phase2_train,phase2/train
01416788.jpg,LY,phase2_train,phase2/train
01416789.jpg,LY,phase2_train,phase2/train
01416790.jpg,LY,phase2_train,phase2/train
01416791.jpg,LY,phase2_train,phase2/train
01416792.jpg,LY,phase2_train,phase2/train
01416793.jpg,LY,phase2_train,phase2/train
01416794.jpg,LY,phase2_train,phase2/train
01416795.jpg,LY,phase2_train,phase2/train
01416796.jpg,LY,phase2_train,phase2/train
01416797.jpg,LY,phase2_train,phase2/train
01416798.jpg,LY,phase2_train,phase2/train
01416799.jpg,LY,phase2_train,phase2/train
01416800.jpg,LY,phase2_train,phase2/train
01416801.jpg,MMY,phase2_train,phase2/train
01416802.jpg,MMY,phase2_train,phase2/train
01416803.jpg,MMY,phase2_train,phase2/train
01416804.jpg,MMY,phase2_train,phase2/train
01416805.jpg,MMY,phase2_train,phase2/train
01416806.jpg,MO,phase2_train,phase2/train
01416807.jpg,MO,phase2_train,phase2/train
01416808.jpg,MO,phase2_train,phase2/train
01416809.jpg,MO,phase2_train,phase2/train
01416810.jpg,MO,phase2_train,phase2/train
01416811.jpg,MO,phase2_train,phase2/train
01416812.jpg,MMY,phase2_train,phase2/train
01416813.jpg,MO,phase2_train,phase2/train
01416814.jpg,MO,phase2_train,phase2/train
01416815.jpg,MO,phase2_train,phase2/train
01416816.jpg,MO,phase2_train,phase2/train
01416817.jpg,MY,phase2_train,phase2/train
01416818.jpg,MY,phase2_train,phase2/train
01416819.jpg,MY,phase2_train,phase2/train
01416820.jpg,MY,phase2_train,phase2/train
01416821.jpg,MY,phase2_train,phase2/train
01416822.jpg,MY,phase2_train,phase2/train
